,number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_nsga2:generation,state
0,0,0.7710603118431135,2.7621530090000306,2026-01-01 22:22:49.545803,2026-01-01 22:25:13.751137,0 days 00:02:24.205334,0.846470458309974,0.16239780813448107,0.2536999076681772,2,11,2,1062,0.004042872735027332,0.017718847354806822,0.6203292642588698,0,COMPLETE
1,1,0.7734410477970409,1.4913721989996702,2026-01-01 22:25:13.752285,2026-01-01 22:26:31.113036,0 days 00:01:17.360751,0.7099025726528951,0.17336180394137352,0.2708160864249968,2,11,0,530,0.0003905441275210792,5.589524205217924e-05,0.7064847850358382,0,COMPLETE
2,2,0.7878116088500509,3.978789886999948,2026-01-01 22:26:31.114272,2026-01-01 22:29:33.562696,0 days 00:03:02.448424,0.7056937753654446,0.41407038455720546,0.01607123851203988,4,8,1,1418,0.003584985580340473,1.899776347411128e-06,0.6698858237554259,0,COMPLETE
3,3,0.7725749743229018,2.8814119970011234,2026-01-01 22:29:33.563827,2026-01-01 22:32:05.967146,0 days 00:02:32.403319,0.5390688456025535,0.4233589392465845,0.0178601378893971,8,6,3,1411,0.012746711578215055,0.0004374364439939079,0.7066148192106797,0,COMPLETE
4,4,0.7829610496479973,1.3629193810011202,2026-01-01 22:32:05.968258,2026-01-01 22:33:21.602206,0 days 00:01:15.633948,0.7080272084711243,0.36500891374159283,0.05388108577817234,3,6,3,683,0.0019066091638188462,1.2856617791467936e-05,0.7090988766312938,0,COMPLETE
5,5,0.7739161199894321,4.842832009000631,2026-01-01 22:33:21.603170,2026-01-01 22:37:14.555095,0 days 00:03:52.951925,0.578393144967658,0.4687496940092467,0.13962563737015762,5,12,3,1955,1.867943489455632e-06,8.953276247642703e-05,0.6309723757181718,0,COMPLETE
6,6,0.7837396641196713,3.9738105079995876,2026-01-01 22:37:14.556240,2026-01-01 22:40:18.103046,0 days 00:03:03.546806,0.8208787923016159,0.31707843326329943,0.02516607127550297,3,11,1,1083,2.800940363375678e-06,0.8342988013047348,0.6493234787411669,0,COMPLETE
7,7,0.7823214543408665,3.2614903390003747,2026-01-01 22:40:18.104169,2026-01-01 22:43:13.571236,0 days 00:02:55.467067,0.5296178606936361,0.3916028672163949,0.019657448966046126,6,6,3,1659,0.0001415123591905371,4.956947932799957e-06,0.869944621340081,0,COMPLETE
8,8,0.7858613412045263,3.6792374110009405,2026-01-01 22:43:13.572420,2026-01-01 22:46:36.203306,0 days 00:03:22.630886,0.7550229885420853,0.23007332881069884,0.08330803890301997,3,8,0,1795,0.21051180519608725,0.0006812233896860299,0.8553621624183224,0,COMPLETE
9,9,0.7852660659312024,2.085026864999236,2026-01-01 22:46:36.204339,2026-01-01 22:48:15.059094,0 days 00:01:38.854755,0.6710164073434198,0.2975182385457563,0.1131225105716033,7,11,2,679,1.420740499067605e-06,4.4396482429275274e-06,0.7829564902836978,0,COMPLETE
10,10,0.7871826351347829,1.3996713439992163,2026-01-01 22:48:15.060193,2026-01-01 22:49:27.984619,0 days 00:01:12.924426,0.8022204554172194,0.19971689165954998,0.08710745900492396,8,8,2,547,2.359331645804633e-05,2.8965395242758646e-06,0.7436340230624704,0,COMPLETE
11,11,0.7946211940842897,3.5559254309991957,2026-01-01 22:49:27.985620,2026-01-01 22:52:01.388885,0 days 00:02:33.403265,0.5746280235544143,0.44858423607508713,0.017303875834205888,6,12,3,934,0.22664909586669285,0.0017220805097801957,0.88128522691469,0,COMPLETE
12,12,0.7852079573371493,3.0152313750004396,2026-01-01 22:52:01.389995,2026-01-01 22:54:53.344787,0 days 00:02:51.954792,0.8442922333025373,0.27084311545050255,0.21068591627429098,2,8,0,1711,1.1008110571039529e-06,0.0011600689839007146,0.8863051680728726,0,COMPLETE
13,13,0.7758628588708302,2.3141875740002433,2026-01-01 22:54:53.345920,2026-01-01 22:56:54.831891,0 days 00:02:01.485971,0.7812075835580712,0.2292811728083021,0.0212853192163843,8,6,1,1126,0.00015197691143574405,0.6771618710774371,0.7815767176101781,0,COMPLETE
14,14,0.7886181740541099,5.827258236000489,2026-01-01 22:56:54.832991,2026-01-01 23:01:25.780500,0 days 00:04:30.947509,0.7010716092915446,0.11475477894181313,0.023545774516299134,3,9,1,1944,2.0364441666532183e-06,4.6976297622476894e-05,0.8133475168929638,0,COMPLETE
15,15,0.7894970187959542,4.419242710000617,2026-01-01 23:01:25.781587,2026-01-01 23:04:59.950552,0 days 00:03:34.168965,0.804647846131487,0.19682210860460017,0.022587177280197233,8,7,1,1863,2.6657858841301888e-05,0.023404431241892634,0.8352474415920574,0,COMPLETE
16,16,0.7821005840430588,2.9296232689994213,2026-01-01 23:04:59.951698,2026-01-01 23:07:20.303525,0 days 00:02:20.351827,0.5746074041599417,0.43412099823569517,0.08589984533104164,1,10,2,1052,1.7565109007473829e-06,0.0035104085133019127,0.7122730227401075,0,COMPLETE
17,17,0.7891875841542888,4.644028525999602,2026-01-01 23:07:20.304620,2026-01-01 23:10:43.553818,0 days 00:03:23.249198,0.654694138520215,0.16974657160199658,0.01058040360169664,6,9,0,1517,0.41723423151504463,6.685373335828942e-06,0.841828208335863,0,COMPLETE
18,18,0.7918843877174915,3.7992749659988476,2026-01-01 23:10:43.554971,2026-01-01 23:13:29.591654,0 days 00:02:46.036683,0.7220803246397849,0.3639936184136716,0.01471005003927122,3,12,3,1011,0.0015062722325200053,2.8256199318003937e-05,0.8860277700704255,0,COMPLETE
19,19,0.7826048178753021,1.8000623059997451,2026-01-01 23:13:29.592727,2026-01-01 23:14:57.173989,0 days 00:01:27.581262,0.8588441039810308,0.23968382984506437,0.21149322814164553,3,12,2,639,0.21014475048247208,0.047780784401828445,0.8540844876045837,0,COMPLETE
20,20,0.772964200602877,3.69968954199976,2026-01-01 23:14:57.175068,2026-01-01 23:17:49.163800,0 days 00:02:51.988732,0.7654007076432223,0.10367882064665186,0.013313275850595153,5,7,3,1463,1.0724313549547564e-06,9.22249245300467e-06,0.6355150400031112,0,COMPLETE
21,21,0.7778364411195281,3.546757064999838,2026-01-01 23:17:49.164858,2026-01-01 23:20:45.735487,0 days 00:02:56.570629,0.7985965620472097,0.19489963499872004,0.10519936117151477,6,10,0,1323,0.007903098490824658,0.1245490625234522,0.7138898943557437,0,COMPLETE
22,22,0.7882184088069231,2.5137020599995594,2026-01-01 23:20:45.736605,2026-01-01 23:23:15.152269,0 days 00:02:29.415664,0.6572390898667042,0.19759585735163343,0.06909724267901692,3,6,1,1487,0.22505016260408264,0.006121132154754234,0.9405536941633559,0,COMPLETE
23,23,0.7839028603632017,4.639144754999506,2026-01-01 23:23:15.153439,2026-01-01 23:26:59.146603,0 days 00:03:43.993164,0.5097263865725815,0.38898084610460215,0.05526573288655769,2,10,1,1693,0.007461631126623751,1.155218343711812e-05,0.6982703268542995,0,COMPLETE
24,24,0.7785888206422806,4.43450966599994,2026-01-01 23:26:59.147708,2026-01-01 23:30:33.809510,0 days 00:03:34.661802,0.8866619276174679,0.4713274250350902,0.25648866468880704,1,12,1,1911,0.6049505313715201,0.13123713256562983,0.74986445191106,0,COMPLETE
25,25,0.7901077833533957,3.18968710900117,2026-01-01 23:30:33.810644,2026-01-01 23:32:56.171537,0 days 00:02:22.360893,0.7784119186699892,0.32272050498334004,0.03705408044695723,2,11,1,941,0.002632491760411514,3.828767216055792e-06,0.9276541709562733,0,COMPLETE
26,26,0.7771746879494265,2.120239394998862,2026-01-01 23:32:56.173043,2026-01-01 23:35:05.937869,0 days 00:02:09.764826,0.7809936335948438,0.39630744710168175,0.290021093247953,8,6,2,1423,0.00014353139548983513,5.7749877267890546e-05,0.8439555093483437,0,COMPLETE
27,27,0.7811224763709798,3.8674518179996085,2026-01-01 23:35:05.938947,2026-01-01 23:38:13.619635,0 days 00:03:07.680688,0.7599855723111061,0.30060651787487985,0.1572663162015696,5,12,3,1714,0.016285506249643186,0.05953275989844317,0.8794033126383712,0,COMPLETE
28,28,0.7842581837329641,4.859498542000438,2026-01-01 23:38:13.620758,2026-01-01 23:42:10.096583,0 days 00:03:56.475825,0.7170578538830307,0.11437690951869683,0.03156892767756196,5,8,0,1835,5.238989315858799e-05,0.0035075152135021067,0.762959306346361,0,COMPLETE
29,29,0.7822947047049668,1.9755316039991158,2026-01-01 23:42:10.097689,2026-01-01 23:43:29.279657,0 days 00:01:19.181968,0.5863284109987372,0.3088973040219217,0.011354494477798304,2,11,1,545,0.00546188881173922,3.2515077235891685e-06,0.8694977435845137,0,COMPLETE
