method,filename,label,f1_score,latency_us,n_estimators,max_depth
TPE,model_tpe_pareto_1.json,[TPE] Pareto #1 | F1: 0.8648 | 5.4 µs,0.8647633802314562,5.424412581931508,600,10
TPE,model_tpe_pareto_2.json,[TPE] Pareto #2 | F1: 0.8633 | 4.6 µs,0.8632834549592182,4.556448099433257,700,7
TPE,model_tpe_pareto_3.json,[TPE] Pareto #3 | F1: 0.8615 | 4.3 µs,0.8615123232247559,4.284603046767892,700,6
TPE,model_tpe_pareto_4.json,[TPE] Pareto #4 | F1: 0.8594 | 3.8 µs,0.8593998365557154,3.8495969014405875,600,6
TPE,model_tpe_pareto_5.json,[TPE] Pareto #5 | F1: 0.8565 | 3.7 µs,0.8564989012535627,3.697525196373149,500,7
Random,model_random_pareto_1.json,[Random] Pareto #1 | F1: 0.8660 | 10.6 µs,0.8659778950261872,10.572319665826026,1000,12
Random,model_random_pareto_2.json,[Random] Pareto #2 | F1: 0.8655 | 9.6 µs,0.8654630537204395,9.620229673853865,900,12
Random,model_random_pareto_3.json,[Random] Pareto #3 | F1: 0.8641 | 8.6 µs,0.8640989274239351,8.562554340366498,900,11
Random,model_random_pareto_4.json,[Random] Pareto #4 | F1: 0.8627 | 5.3 µs,0.8626786068031654,5.3297902928580045,500,11
Random,model_random_pareto_5.json,[Random] Pareto #5 | F1: 0.8621 | 4.0 µs,0.8620625509061508,3.971174581347657,500,8
Random,model_random_pareto_6.json,[Random] Pareto #6 | F1: 0.8594 | 3.9 µs,0.8593998365557154,3.886276693176229,600,6
NSGA-II,model_nsga-ii_pareto_1.json,[NSGA-II] Pareto #1 | F1: 0.8631 | 10.2 µs,0.8630831287949157,10.152243564177475,1400,8
NSGA-II,model_nsga-ii_pareto_2.json,[NSGA-II] Pareto #2 | F1: 0.8601 | 8.3 µs,0.8601492392825952,8.302184913512786,1700,6
NSGA-II,model_nsga-ii_pareto_3.json,[NSGA-II] Pareto #3 | F1: 0.8597 | 8.2 µs,0.8597403363659943,8.239401034211978,1700,6
NSGA-II,model_nsga-ii_pareto_4.json,[NSGA-II] Pareto #4 | F1: 0.8594 | 3.9 µs,0.8593998365557154,3.8771733494126384,600,6
